station1,station2,distance
Kingsbury St & Erie St,Western Ave & Winnebago Ave,3.066
Kingsbury St & Erie St,Wilton Ave & Belmont Ave,4.026
Kingsbury St & Erie St,Sedgwick St & North Ave,1.98
Kingsbury St & Erie St,Wentworth Ave & Archer Ave,3.637
Kingsbury St & Erie St,Lincoln Ave & Fullerton Ave,2.567
Kingsbury St & Erie St,Lincoln Ave & Belmont Ave,4.747
Kingsbury St & Erie St,Wentworth Ave & 24th St,4.176
Kingsbury St & Erie St,Peoria St & Jackson Blvd,1.656
Kingsbury St & Erie St,Racine Ave & 13th St,2.918
Kingsbury St & Erie St,Morgan Ave & 14th Pl,2.831
Kingsbury St & Erie St,Sedgwick St & Webster Ave,2.493
Kingsbury St & Erie St,Larrabee St & Webster Ave,2.514
Kingsbury St & Erie St,Loomis St & Jackson Blvd,2.263
Kingsbury St & Erie St,State St & 33rd St,5.136
Kingsbury St & Erie St,Lincoln Ave & Diversey Pkwy,3.261
Kingsbury St & Erie St,Southport Ave & Wellington Ave,3.613
Kingsbury St & Erie St,Southport Ave & Belmont Ave,4.99
Kingsbury St & Erie St,Lake Shore Dr & Wellington Ave,4.559
Kingsbury St & Erie St,Milwaukee Ave & Wabansia Ave,2.673
Kingsbury St & Erie St,Paulina St & Diversey Pkwy,4.381
Kingsbury St & Erie St,Michigan Ave & 14th St,2.972
Kingsbury St & Erie St,May St & Cullerton St,3.768
Kingsbury St & Erie St,Mies van der Rohe Way & Chicago Ave,1.226
Kingsbury St & Erie St,Wells St & Polk St,2.532
Kingsbury St & Erie St,Theater on the Lake,3.15
Kingsbury St & Erie St,State St & 19th St,3.811
Kingsbury St & Erie St,Martin Luther King Dr & Oakwood Blvd,6.464
Kingsbury St & Erie St,LaSalle St & Illinois St,0.728
Kingsbury St & Erie St,State St & 35th St,5.334
Kingsbury St & Erie St,Stave St & Armitage Ave,3.32
Kingsbury St & Erie St,Ogden Ave & Race Ave,1.276
Kingsbury St & Erie St,Southport Ave & Wrightwood Ave,4.226
Kingsbury St & Erie St,State St & 29th St,4.325
Kingsbury St & Erie St,State St & Wacker Dr,1.189
Kingsbury St & Erie St,Michigan Ave & Madison St,1.736
Kingsbury St & Erie St,Wabash Ave & Grand Ave,1.094
Kingsbury St & Erie St,Western Ave & 21st St,4.283
Kingsbury St & Erie St,Prairie Ave & Garfield Blvd,8.347
Kingsbury St & Erie St,Paulina St & 18th St,3.752
Kingsbury St & Erie St,Normal Ave & Archer Ave,3.772
Kingsbury St & Erie St,St Clair St & Erie St,1.227
Kingsbury St & Erie St,Wells St & Ohio St,0.52
Kingsbury St & Erie St,Leavitt St & North Ave,2.685
Kingsbury St & Erie St,May St & Fulton St,1.351
Kingsbury St & Erie St,Wells St & 19th St,3.725
Kingsbury St & Erie St,Milwaukee Ave & Rockwell St,3.464
Kingsbury St & Erie St,Racine Ave & Belmont Ave,3.738
Kingsbury St & Erie St,Southport Ave & Waveland Ave,5.548
Kingsbury St & Erie St,Southport Ave & Roscoe St,5.248
Kingsbury St & Erie St,Lincoln Ave & Roscoe St,5.093
Kingsbury St & Erie St,Sheridan Rd & Montrose Ave,6.306
Kingsbury St & Erie St,Pine Grove Ave & Addison St,4.261
Kingsbury St & Erie St,Sangamon St & Washington Blvd,1.453
Kingsbury St & Erie St,Sedgwick St & Schiller St,1.233
Kingsbury St & Erie St,Martin Luther King Dr & 29th St,5.371
Kingsbury St & Erie St,Ravenswood Ave & Montrose Ave,6.491
Kingsbury St & Erie St,Western Ave & Leland Ave,6.97
Kingsbury St & Erie St,Sheridan Rd & Irving Park Rd,5.845
Kingsbury St & Erie St,Morgan St & Polk St,2.462
Kingsbury St & Erie St,Lincoln Ave & Leavitt St,6.668
Kingsbury St & Erie St,Ravenswood Ave & Irving Park Rd,6.015
Kingsbury St & Erie St,Shore Drive & 55th St,9.575
Kingsbury St & Erie St,Woodlawn Ave & 55th St,9.457
Kingsbury St & Erie St,Montrose Harbor,6.236
Kingsbury St & Erie St,Pine Grove Ave & Irving Park Rd,5.508
Kingsbury St & Erie St,Lincoln Ave & Waveland Ave,5.452
Kingsbury St & Erie St,Logan Blvd & Elston Ave,4.503
Kingsbury St & Erie St,Rhodes Ave & 32nd St,5.683
Kingsbury St & Erie St,Stetson Ave & South Water St,1.722
Kingsbury St & Erie St,Lake Park Ave & 47th St,8.272
Kingsbury St & Erie St,Lake Shore Dr & North Blvd,2.162
Kingsbury St & Erie St,Michigan Ave & 18th St,3.395
Kingsbury St & Erie St,Racine Ave & 15th St,3.174
Kingsbury St & Erie St,Wallace Ave & 35th St,5.609
Kingsbury St & Erie St,Morgan St & 31st St,4.506
Kingsbury St & Erie St,Western Ave & 24th St,4.661
Kingsbury St & Erie St,LaSalle St & Jackson Blvd,1.59
Kingsbury St & Erie St,Michigan Ave & Jackson Blvd,2.377
Kingsbury St & Erie St,Wood St & Grand Ave,1.882
Kingsbury St & Erie St,Larrabee St & Armitage Ave,1.757
Kingsbury St & Erie St,Wells St & Concord Ln,1.818
Kingsbury St & Erie St,Wells St & Evergreen Ave,1.356
Kingsbury St & Erie St,Southport Ave & Clark St,5.014
Kingsbury St & Erie St,Paulina St & Montrose Ave,6.351
Kingsbury St & Erie St,Lincoln Ave & Belle Plaine Ave,6.03
Kingsbury St & Erie St,Sheffield Ave & Wrightwood Ave,2.905
Kingsbury St & Erie St,Western Ave & Division St,2.737
Kingsbury St & Erie St,Sheridan Rd & Buena Ave,4.912
Kingsbury St & Erie St,Southport Ave & Clybourn Ave,2.547
Kingsbury St & Erie St,Seeley Ave & Roscoe St,5.148
Kingsbury St & Erie St,Leavitt St & Armitage Ave,3.791
Kingsbury St & Erie St,Lincoln Ave & Eastwood Ave,7.08
Kingsbury St & Erie St,Lakeview Ave & Fullerton Pkwy,2.841
Kingsbury St & Erie St,Ravenswood Ave & Berteau Ave,6.218
Kingsbury St & Erie St,Leavitt St & Hirsch St,2.947
Kingsbury St & Erie St,Wood St & Taylor St,3.05
Kingsbury St & Erie St,Southport Ave & Irving Park Rd,5.989
Kingsbury St & Erie St,Loomis St & Lexington St,2.67
Kingsbury St & Erie St,Wabash Ave & 8th St,2.316
Kingsbury St & Erie St,Sheridan Rd & Lawrence Ave,6.761
Kingsbury St & Erie St,Stockton Dr & Wrightwood Ave,3.435
Kingsbury St & Erie St,Sheffield Ave & Webster Ave,2.539
Kingsbury St & Erie St,Lake Shore Dr & Diversey Pkwy,3.832
Kingsbury St & Erie St,Lincoln Ave & Addison St,5.232
Kingsbury St & Erie St,Lake Shore Dr & Belmont Ave,4.44
Kingsbury St & Erie St,Wolcott Ave & Polk St,3.333
Kingsbury St & Erie St,Racine Ave & Wrightwood Ave,3.297
Kingsbury St & Erie St,Wolcott Ave & Lawrence Ave,7.104
Kingsbury St & Erie St,Lake Park Ave & 56th St,10.069
Canal St & Jackson Blvd,State St & Harrison St,0.859
Canal St & Jackson Blvd,Wilton Ave & Diversey Pkwy,5.647
Canal St & Jackson Blvd,Morgan St & 18th St,2.225
Canal St & Jackson Blvd,Racine Ave & 18th St,2.399
Canal St & Jackson Blvd,Wood St & North Ave,3.594
Canal St & Jackson Blvd,Wood St & Division St,3.126
Canal St & Jackson Blvd,Loomis St & Taylor St,1.826
Canal St & Jackson Blvd,Sheffield Ave & Kingsbury St,3.839
Canal St & Jackson Blvd,May St & Taylor St,1.543
Canal St & Jackson Blvd,Orleans St & Elm St,1.942
Canal St & Jackson Blvd,Fairbanks Ct & Grand Ave,1.903
Canal St & Jackson Blvd,Michigan Ave & Pearson St,2.089
Canal St & Jackson Blvd,McClurg Ct & Illinois St,1.978
Canal St & Jackson Blvd,Larrabee St & North Ave,3.228
Canal St & Jackson Blvd,Larrabee St & Menomonee St,3.436
Canal St & Jackson Blvd,Noble St & Milwaukee Ave,2.57
Canal St & Jackson Blvd,Franklin St & Chicago Ave,1.594
Canal St & Jackson Blvd,Racine Ave & Congress Pkwy,1.248
Canal St & Jackson Blvd,State St & Van Buren St,0.927
Canal St & Jackson Blvd,Cannon Dr & Fullerton Ave,4.357
Canal St & Jackson Blvd,Streeter Dr & Illinois St,2.241
Canal St & Jackson Blvd,Franklin St & Jackson Blvd,0.548
Canal St & Jackson Blvd,Dearborn St & Adams St,0
Canal St & Jackson Blvd,Wabash Ave & Cermak Rd,2.44
Canal St & Jackson Blvd,Michigan Ave & Washington St,1.698
Canal St & Jackson Blvd,State St & Randolph St,1.326
Canal St & Jackson Blvd,Michigan Ave & Congress Pkwy,1.319
Canal St & Jackson Blvd,Wells St & Walton St,1.944
Canal St & Jackson Blvd,State St & Kinzie St,1.38
Canal St & Jackson Blvd,Larrabee St & Kingsbury St,1.884
Canal St & Jackson Blvd,Dearborn St & Monroe St,0.768
Canal St & Jackson Blvd,Clark St & Congress Pkwy,0.628
Canal St & Jackson Blvd,Clark St & Randolph St,1.241
Canal St & Jackson Blvd,Michigan Ave & Lake St,1.569
Canal St & Jackson Blvd,Wells St & Erie St,1.541
Canal St & Jackson Blvd,Ogden Ave & Chicago Ave,1.786
Canal St & Jackson Blvd,Halsted St & James M Rochford St,1.363
Canal St & Jackson Blvd,Desplaines St & Kinzie St,0.99
Canal St & Jackson Blvd,Clinton St & Roosevelt Rd,1.407
Canal St & Jackson Blvd,Wabash Ave & Roosevelt Rd,1.475
Canal St & Jackson Blvd,Dayton St & North Ave,3.95
Canal St & Jackson Blvd,Wood St & Milwaukee Ave,3.25
Canal St & Jackson Blvd,McCormick Place,2.985
Canal St & Jackson Blvd,Clinton St & Lake St,0.726
Canal St & Jackson Blvd,Sheffield Ave & Fullerton Ave,5.089
Canal St & Jackson Blvd,Clinton St & Tilden St,0.226
Canal St & Jackson Blvd,Damen Ave & Pierce Ave,3.797
Canal St & Jackson Blvd,Morgan St & Lake St,1.462
Canal St & Jackson Blvd,State St & 16th St,1.899
Canal St & Jackson Blvd,Jefferson St & Monroe St,0.676
Canal St & Jackson Blvd,Kingsbury St & Erie St,1.565
Canal St & Jackson Blvd,Lake Shore Dr & Monroe St,1.35
Canal St & Jackson Blvd,Clinton St & Madison St,0.38
Canal St & Jackson Blvd,Daley Center Plaza,1.46
Canal St & Jackson Blvd,Green St & Milwaukee Ave,1.334
Canal St & Jackson Blvd,Michigan Ave & Oak St,3.875
Canal St & Jackson Blvd,Eckhart Park,2.056
Canal St & Jackson Blvd,Racine Ave & Fullerton Ave,4.844
Canal St & Jackson Blvd,May St & Randolph St,1.569
Canal St & Jackson Blvd,Millennium Park,1.004
Canal St & Jackson Blvd,Clinton St & Washington Blvd,0.612
Canal St & Jackson Blvd,Carpenter St & Huron St,1.683
Canal St & Jackson Blvd,Sheffield Ave & Willow St,3.961
Canal St & Jackson Blvd,Lincoln Ave & Armitage Ave,3.292
Canal St & Jackson Blvd,Museum Campus,1.943
Canal St & Jackson Blvd,LaSalle St & Washington St,0.802
Canal St & Jackson Blvd,Lake Shore Dr & Ohio St,2.269
Canal St & Jackson Blvd,Orleans St & Merchandise Mart Plaza,0.912
Canal St & Jackson Blvd,State St & Pearson St,1.946
Canal St & Jackson Blvd,Halsted St & Polk St,1.269
Canal St & Jackson Blvd,State St & Erie St,1.656
Canal St & Jackson Blvd,Sedgwick St & Huron St,1.444
Canal St & Jackson Blvd,Green St & Randolph St,1.209
Canal St & Jackson Blvd,Sheffield Ave & Addison St,6.607
Canal St & Jackson Blvd,Sheffield Ave & Wellington Ave,5.846
Canal St & Jackson Blvd,Western Ave & Winnebago Ave,4.204
Canal St & Jackson Blvd,Wilton Ave & Belmont Ave,6.38
Canal St & Jackson Blvd,Sedgwick St & North Ave,2.961
Canal St & Jackson Blvd,Wentworth Ave & Archer Ave,2.026
Canal St & Jackson Blvd,Congress Pkwy & Ogden Ave,1.982
Canal St & Jackson Blvd,Damen Ave & Cullerton St,3.556
Canal St & Jackson Blvd,Clark St & North Ave,2.88
Canal St & Jackson Blvd,Lincoln Ave & Fullerton Ave,4.031
Canal St & Jackson Blvd,Damen Ave & Chicago Ave,3.428
Canal St & Jackson Blvd,Damen Ave & Division St,3.343
Canal St & Jackson Blvd,Lincoln Ave & Belmont Ave,5.357
Canal St & Jackson Blvd,Wentworth Ave & 24th St,2.366
Canal St & Jackson Blvd,Peoria St & Jackson Blvd,0.69
Canal St & Jackson Blvd,Halsted St & 21st St,2.166
Canal St & Jackson Blvd,Racine Ave & 13th St,1.929
Canal St & Jackson Blvd,Morgan Ave & 14th Pl,1.842
Canal St & Jackson Blvd,Clybourn Ave & Division St,2.179
Canal St & Jackson Blvd,Dearborn Pkwy & Delaware Pl,1.943
Canal St & Jackson Blvd,Clark St & Lincoln Ave,2.983
Canal St & Jackson Blvd,Sedgwick St & Webster Ave,3.468
Canal St & Jackson Blvd,Larrabee St & Webster Ave,3.649
Canal St & Jackson Blvd,Loomis St & Jackson Blvd,1.328
Canal St & Jackson Blvd,Indiana Ave & 26th St,3.112
Canal St & Jackson Blvd,State St & 33rd St,4.149
Canal St & Jackson Blvd,Fort Dearborn Dr & 31st St,3.927
Canal St & Jackson Blvd,Lincoln Ave & Diversey Pkwy,5.346
Canal St & Jackson Blvd,Southport Ave & Wellington Ave,5.708
Canal St & Jackson Blvd,Southport Ave & Belmont Ave,5.601
Canal St & Jackson Blvd,Clark St & Wellington Ave,4.589
Canal St & Jackson Blvd,Lake Shore Dr & Wellington Ave,5.534
Canal St & Jackson Blvd,Milwaukee Ave & Wabansia Ave,3.81
Canal St & Jackson Blvd,Claremont Ave & Hirsch St,4.17
Canal St & Jackson Blvd,Damen Ave & Wellington Ave,5.293
Canal St & Jackson Blvd,Paulina St & Diversey Pkwy,4.991
Canal St & Jackson Blvd,Franklin St & Lake St,0.776
Canal St & Jackson Blvd,Clark St & Waveland Ave,6.623
Canal St & Jackson Blvd,Damen Ave & Coulter St,3.839
Canal St & Jackson Blvd,Michigan Ave & 14th St,1.793
Canal St & Jackson Blvd,Clinton St & 18th St,1.552
Canal St & Jackson Blvd,May St & Cullerton St,2.781
Canal St & Jackson Blvd,Mies van der Rohe Way & Chicago Ave,2.135
Canal St & Jackson Blvd,Canal St & Madison St,0.301
Canal St & Jackson Blvd,Wells St & Polk St,0.653
Canal St & Jackson Blvd,Clark St & Elm St,2.402
Canal St & Jackson Blvd,Theater on the Lake,4.125
Canal St & Jackson Blvd,State St & 19th St,2.088
Canal St & Jackson Blvd,Martin Luther King Dr & Oakwood Blvd,5.476
Canal St & Jackson Blvd,LaSalle St & Illinois St,1.252
Canal St & Jackson Blvd,Damen Ave & Augusta Blvd,3.6
Canal St & Jackson Blvd,State St & 35th St,4.347
Canal St & Jackson Blvd,Stave St & Armitage Ave,4.457
Canal St & Jackson Blvd,Ogden Ave & Race Ave,2.094
Canal St & Jackson Blvd,Greenview Ave & Fullerton Ave,4.459
Canal St & Jackson Blvd,Southport Ave & Wrightwood Ave,4.836
Canal St & Jackson Blvd,Canal St & Monroe St,0.204
Canal St & Jackson Blvd,State St & 29th St,3.153
Canal St & Jackson Blvd,State St & Wacker Dr,1.214
Canal St & Jackson Blvd,Columbus Dr & Randolph St,1.773
Canal St & Jackson Blvd,Cityfront Plaza & N Water St,1.789
Canal St & Jackson Blvd,Michigan Ave & Madison St,1.115
Canal St & Jackson Blvd,Halsted St & Madison St,0.704
Canal St & Jackson Blvd,Wabash Ave & Grand Ave,1.847
Canal St & Jackson Blvd,King Dr & 47th St,6.508
Canal St & Jackson Blvd,Indiana Ave & 40th St,5.969
Canal St & Jackson Blvd,Halsted St & 18th St,1.941
Canal St & Jackson Blvd,Western Ave & 21st St,4.14
Canal St & Jackson Blvd,Prairie Ave & Garfield Blvd,7.36
Canal St & Jackson Blvd,Paulina St & 18th St,2.99
Canal St & Jackson Blvd,Halsted St & Archer Ave,2.398
Canal St & Jackson Blvd,Emerald Ave & 28th St,2.694
Canal St & Jackson Blvd,Normal Ave & Archer Ave,2.049
Canal St & Jackson Blvd,St Clair St & Erie St,1.98
Canal St & Jackson Blvd,Wells St & Ohio St,1.374
Canal St & Jackson Blvd,Leavitt St & North Ave,3.822
Canal St & Jackson Blvd,Damen Ave & Grand Ave,3.114
Canal St & Jackson Blvd,Damen Ave & Madison St,2.515
Canal St & Jackson Blvd,May St & Fulton St,1.73
Canal St & Jackson Blvd,Wells St & 19th St,2.002
Canal St & Jackson Blvd,Damen Ave & Cortland Ave,4.274
Canal St & Jackson Blvd,Hampden Ct & Diversey Pkwy,4.422
Canal St & Jackson Blvd,Milwaukee Ave & Rockwell St,4.601
Canal St & Jackson Blvd,Clifton Ave & Armitage Ave,4.341
Canal St & Jackson Blvd,Halsted St & Willow St,2.828
Canal St & Jackson Blvd,Halsted St & Dickens Ave,3.243
Canal St & Jackson Blvd,Racine Ave & Belmont Ave,5.835
Canal St & Jackson Blvd,Southport Ave & Waveland Ave,6.158
Canal St & Jackson Blvd,Damen Ave & Melrose Ave,5.501
Canal St & Jackson Blvd,Southport Ave & Roscoe St,5.858
Canal St & Jackson Blvd,Lincoln Ave & Roscoe St,5.703
Canal St & Jackson Blvd,Sheridan Rd & Montrose Ave,7.582
Canal St & Jackson Blvd,Pine Grove Ave & Addison St,5.568
Canal St & Jackson Blvd,Sangamon St & Washington Blvd,1.064
Canal St & Jackson Blvd,Clark St & Montrose Ave,7.011
Canal St & Jackson Blvd,Sedgwick St & Schiller St,2.31
Canal St & Jackson Blvd,Martin Luther King Dr & 29th St,4.384
Canal St & Jackson Blvd,Ravenswood Ave & Montrose Ave,7.102
Canal St & Jackson Blvd,Western Ave & Leland Ave,7.58
Canal St & Jackson Blvd,Sheridan Rd & Irving Park Rd,7.096
Canal St & Jackson Blvd,Morgan St & Polk St,1.473
Canal St & Jackson Blvd,Damen Ave & Leland Ave,7.333
Canal St & Jackson Blvd,Lincoln Ave & Leavitt St,7.279
Canal St & Jackson Blvd,Ravenswood Ave & Irving Park Rd,6.625
Canal St & Jackson Blvd,Clarendon Ave & Junior Ter,7.101
Canal St & Jackson Blvd,Shore Drive & 55th St,7.581
Canal St & Jackson Blvd,Woodlawn Ave & 55th St,7.463
Canal St & Jackson Blvd,Montrose Harbor,7.211
Canal St & Jackson Blvd,Clarendon Ave & Leland Ave,7.545
Canal St & Jackson Blvd,Greenwood Ave & 47th St,6.609
Canal St & Jackson Blvd,Clifton Ave & Lawrence Ave,8.021
Canal St & Jackson Blvd,Pine Grove Ave & Irving Park Rd,6.483
Canal St & Jackson Blvd,Indiana Ave & Roosevelt Rd,1.671
Canal St & Jackson Blvd,Lincoln Ave & Waveland Ave,6.062
Canal St & Jackson Blvd,Logan Blvd & Elston Ave,5.114
Canal St & Jackson Blvd,Kedzie Ave & Milwaukee Ave,5.597
Canal St & Jackson Blvd,Hermitage Ave & Polk St,2.061
Canal St & Jackson Blvd,Halsted St & 37th St,3.785
Canal St & Jackson Blvd,Rhodes Ave & 32nd St,4.251
Canal St & Jackson Blvd,Stetson Ave & South Water St,1.77
Canal St & Jackson Blvd,Cottage Grove Ave & Oakwood Blvd,5.317
Canal St & Jackson Blvd,Lake Park Ave & 47th St,6.277
Canal St & Jackson Blvd,Lake Shore Dr & North Blvd,3.137
Canal St & Jackson Blvd,Cottage Grove Ave & 43rd St,5.767
Canal St & Jackson Blvd,Indiana Ave & 31st St,4.138
Canal St & Jackson Blvd,Michigan Ave & 18th St,2.22
Canal St & Jackson Blvd,Racine Ave & 15th St,2.186
Canal St & Jackson Blvd,Wallace Ave & 35th St,4.622
Canal St & Jackson Blvd,Halsted St & 35th St,4.915
Canal St & Jackson Blvd,Morgan St & 31st St,3.281
Canal St & Jackson Blvd,Western Ave & 24th St,4.519
Canal St & Jackson Blvd,Halsted St & Maxwell St,1.464
Canal St & Jackson Blvd,LaSalle St & Jackson Blvd,0.411
Canal St & Jackson Blvd,Michigan Ave & Jackson Blvd,1.208
Canal St & Jackson Blvd,Wood St & Grand Ave,2.845
Canal St & Jackson Blvd,Franklin St & Quincy St,0.309
Canal St & Jackson Blvd,Franklin St & Arcade Pl,0.454
Canal St & Jackson Blvd,Larrabee St & Armitage Ave,3.655
Canal St & Jackson Blvd,Wells St & Concord Ln,2.798
Canal St & Jackson Blvd,Kedzie Ave & Palmer Ct,5.681
Canal St & Jackson Blvd,Wells St & Evergreen Ave,2.739
Canal St & Jackson Blvd,Southport Ave & Clark St,6.988
Canal St & Jackson Blvd,Paulina St & Montrose Ave,6.962
Canal St & Jackson Blvd,Lincoln Ave & Belle Plaine Ave,6.64
Canal St & Jackson Blvd,Halsted St & Roscoe St,5.248
Canal St & Jackson Blvd,Clark St & Schiller St,2.491
Canal St & Jackson Blvd,Sheffield Ave & Wrightwood Ave,4.369
Canal St & Jackson Blvd,Halsted St & Waveland Ave,5.488
Canal St & Jackson Blvd,Western Ave & Division St,4.449
Canal St & Jackson Blvd,Sheridan Rd & Buena Ave,7.379
Canal St & Jackson Blvd,Southport Ave & Clybourn Ave,4.395
Canal St & Jackson Blvd,Seeley Ave & Roscoe St,5.758
Canal St & Jackson Blvd,Leavitt St & Armitage Ave,4.401
Canal St & Jackson Blvd,Damen Ave & Charleston St,4.449
Canal St & Jackson Blvd,Lincoln Ave & Eastwood Ave,7.69
Canal St & Jackson Blvd,Clarendon Ave & Gordon Ter,6.727
Canal St & Jackson Blvd,Lakeview Ave & Fullerton Pkwy,3.816
Canal St & Jackson Blvd,Ravenswood Ave & Berteau Ave,6.828
Canal St & Jackson Blvd,Leavitt St & Hirsch St,4.085
Canal St & Jackson Blvd,Damen Ave & Sunnyside Ave,7.082
Canal St & Jackson Blvd,Wood St & Taylor St,2.288
Canal St & Jackson Blvd,Southport Ave & Irving Park Rd,6.6
Canal St & Jackson Blvd,Greenview Ave & Diversey Pkwy,4.96
Canal St & Jackson Blvd,Loomis St & Lexington St,1.575
Canal St & Jackson Blvd,Wabash Ave & 8th St,1.081
Canal St & Jackson Blvd,Kimbark Ave & 53rd St,7.663
Canal St & Jackson Blvd,Sheridan Rd & Lawrence Ave,7.736
Canal St & Jackson Blvd,Stockton Dr & Wrightwood Ave,4.41
Canal St & Jackson Blvd,Clark St & Winnemac Ave,7.725
Canal St & Jackson Blvd,Clark St & Leland Ave,7.324
Canal St & Jackson Blvd,Sheffield Ave & Webster Ave,3.618
Canal St & Jackson Blvd,Ellis Ave & 58th St,9.025
Canal St & Jackson Blvd,Lake Shore Dr & Diversey Pkwy,4.807
Canal St & Jackson Blvd,Lincoln Ave & Addison St,5.842
Canal St & Jackson Blvd,Halsted St & Blackhawk St,2.459
Canal St & Jackson Blvd,Halsted St & Diversey Pkwy,4.16
Canal St & Jackson Blvd,Lake Shore Dr & Belmont Ave,5.415
Canal St & Jackson Blvd,Cottage Grove Ave & 47th St,6.993
Canal St & Jackson Blvd,Clark St & Chicago Ave,1.721
Canal St & Jackson Blvd,Emerald Ave & 31st St,3.071
Canal St & Jackson Blvd,Clark St & Wrightwood Ave,4.052
Canal St & Jackson Blvd,Wolcott Ave & Polk St,2.571
Canal St & Jackson Blvd,Racine Ave & Wrightwood Ave,5.097
Canal St & Jackson Blvd,Wolcott Ave & Lawrence Ave,7.715
Canal St & Jackson Blvd,Lake Park Ave & 56th St,8.074
Canal St & Jackson Blvd,Halsted St & Wrightwood Ave,3.869
Canal St & Jackson Blvd,Cottage Grove Ave & 51st St,7.474
Lake Shore Dr & Monroe St,State St & Harrison St,0.996
Lake Shore Dr & Monroe St,Wilton Ave & Diversey Pkwy,4.92
Lake Shore Dr & Monroe St,Morgan St & 18th St,3.263
Lake Shore Dr & Monroe St,Racine Ave & 18th St,3.522
Lake Shore Dr & Monroe St,Wood St & North Ave,5.173
Lake Shore Dr & Monroe St,Wood St & Division St,3.83
Lake Shore Dr & Monroe St,Loomis St & Taylor St,3.356
Lake Shore Dr & Monroe St,Sheffield Ave & Kingsbury St,4.252
Lake Shore Dr & Monroe St,May St & Taylor St,3.138
Lake Shore Dr & Monroe St,Orleans St & Elm St,2.835
Lake Shore Dr & Monroe St,Michigan Ave & Pearson St,1.769
Lake Shore Dr & Monroe St,McClurg Ct & Illinois St,1.265
Lake Shore Dr & Monroe St,Larrabee St & North Ave,3.712
Lake Shore Dr & Monroe St,Larrabee St & Menomonee St,3.92
Lake Shore Dr & Monroe St,Noble St & Milwaukee Ave,3.274
Lake Shore Dr & Monroe St,Racine Ave & Congress Pkwy,2.573
Lake Shore Dr & Monroe St,State St & Van Buren St,0.979
Lake Shore Dr & Monroe St,Streeter Dr & Illinois St,0.896
Lake Shore Dr & Monroe St,Wabash Ave & Cermak Rd,2.347
Lake Shore Dr & Monroe St,Michigan Ave & Washington St,0.676
Lake Shore Dr & Monroe St,State St & Randolph St,0.81
Lake Shore Dr & Monroe St,Michigan Ave & Congress Pkwy,0.878
Lake Shore Dr & Monroe St,Wells St & Walton St,2.471
Lake Shore Dr & Monroe St,State St & Kinzie St,1.501
Lake Shore Dr & Monroe St,Larrabee St & Kingsbury St,2.776
Lake Shore Dr & Monroe St,Michigan Ave & Lake St,0.709
Lake Shore Dr & Monroe St,Wells St & Erie St,2.071
Lake Shore Dr & Monroe St,Ogden Ave & Chicago Ave,3.141
Lake Shore Dr & Monroe St,Wabash Ave & Roosevelt Rd,1.34
Lake Shore Dr & Monroe St,Wood St & Milwaukee Ave,3.954
Lake Shore Dr & Monroe St,McCormick Place,2.678
Lake Shore Dr & Monroe St,Sheffield Ave & Fullerton Ave,4.683
Lake Shore Dr & Monroe St,Morgan St & Lake St,2.152
Lake Shore Dr & Monroe St,State St & 16th St,1.929
Lake Shore Dr & Monroe St,Michigan Ave & Oak St,3.449
Lake Shore Dr & Monroe St,Racine Ave & Fullerton Ave,4.935
Lake Shore Dr & Monroe St,May St & Randolph St,2.255
Lake Shore Dr & Monroe St,Millennium Park,0.374
Lake Shore Dr & Monroe St,Sheffield Ave & Willow St,4.279
Lake Shore Dr & Monroe St,Lincoln Ave & Armitage Ave,3.489
Lake Shore Dr & Monroe St,Museum Campus,1.245
Lake Shore Dr & Monroe St,Lake Shore Dr & Ohio St,1.268
Lake Shore Dr & Monroe St,Orleans St & Merchandise Mart Plaza,1.811
Lake Shore Dr & Monroe St,State St & Pearson St,2.015
Lake Shore Dr & Monroe St,State St & Erie St,1.888
Lake Shore Dr & Monroe St,Sedgwick St & Huron St,2.336
Lake Shore Dr & Monroe St,Sheffield Ave & Addison St,5.773
Lake Shore Dr & Monroe St,Sheffield Ave & Wellington Ave,5.244
Lake Shore Dr & Monroe St,Western Ave & Winnebago Ave,6.31
Lake Shore Dr & Monroe St,Wilton Ave & Belmont Ave,5.716
Lake Shore Dr & Monroe St,Sedgwick St & North Ave,3.444
Lake Shore Dr & Monroe St,Wentworth Ave & Archer Ave,2.494
Lake Shore Dr & Monroe St,Lincoln Ave & Fullerton Ave,4.458
Lake Shore Dr & Monroe St,Lincoln Ave & Belmont Ave,5.816
Lake Shore Dr & Monroe St,Wentworth Ave & 24th St,2.936
Lake Shore Dr & Monroe St,Peoria St & Jackson Blvd,2.393
Lake Shore Dr & Monroe St,Racine Ave & 13th St,3.052
Lake Shore Dr & Monroe St,Morgan Ave & 14th Pl,2.965
Lake Shore Dr & Monroe St,Sedgwick St & Webster Ave,3.664
Lake Shore Dr & Monroe St,Larrabee St & Webster Ave,3.845
Lake Shore Dr & Monroe St,Loomis St & Jackson Blvd,3.243
Lake Shore Dr & Monroe St,State St & 33rd St,3.938
Lake Shore Dr & Monroe St,Lincoln Ave & Diversey Pkwy,5.152
Lake Shore Dr & Monroe St,Southport Ave & Wellington Ave,5.504
Lake Shore Dr & Monroe St,Southport Ave & Belmont Ave,5.938
Lake Shore Dr & Monroe St,Lake Shore Dr & Wellington Ave,4.901
Lake Shore Dr & Monroe St,Milwaukee Ave & Wabansia Ave,5.667
